PRJ;Temperature;Cobertos;Gerados;Cobertura;Mortos;Total;Escore;__source_file;Cobertura_num;Gerados_num;Cobertos_num;Mortos_num;Total_num;Escore_num;Temperature_num
01Max;0.7;3;4;75%;11;14;79%;01Max.csv;75.0;4;3;11;14;79.0;0.7
01Max;0.8;3;4;75%;11;14;79%;01Max.csv;75.0;4;3;11;14;79.0;0.8
01Max;0.9;3;4;75%;11;14;79%;01Max.csv;75.0;4;3;11;14;79.0;0.9
01Max;1.0;3;4;75%;11;14;79%;01Max.csv;75.0;4;3;11;14;79.0;1.0
01Max;1.0;3;4;75%;12;14;86%;01Max.csv;75.0;4;3;12;14;86.0;1.0
01Max;0.6;3;4;75%;12;14;86%;01Max.csv;75.0;4;3;12;14;86.0;0.6
01Max;0.0;0;4;0%;0;14;0%;01Max.csv;0.0;4;0;0;14;0.0;0.0
02MaxMin;0.7;7;8;88%;17;21;81%;02MaxMin.csv;88.0;8;7;17;21;81.0;0.7
02MaxMin;0.9;7;8;88%;18;21;86%;02MaxMin.csv;88.0;8;7;18;21;86.0;0.9
02MaxMin;0.9;7;8;88%;18;21;86%;02MaxMin.csv;88.0;8;7;18;21;86.0;0.9
02MaxMin;0.9;7;8;88%;18;21;86%;02MaxMin.csv;88.0;8;7;18;21;86.0;0.9
02MaxMin;1.0;7;8;88%;17;21;81%;02MaxMin.csv;88.0;8;7;17;21;81.0;1.0
02MaxMin;0.6;7;8;88%;18;21;86%;02MaxMin.csv;88.0;8;7;18;21;86.0;0.6
02MaxMin;0.6;7;8;88%;18;21;86%;02MaxMin.csv;88.0;8;7;18;21;86.0;0.6
02MaxMin;0.5;7;8;88%;18;21;86%;02MaxMin.csv;88.0;8;7;18;21;86.0;0.5
02MaxMin;0.4;7;8;88%;18;21;86%;02MaxMin.csv;88.0;8;7;18;21;86.0;0.4
02MaxMin;0.4;7;8;88%;18;21;86%;02MaxMin.csv;88.0;8;7;18;21;86.0;0.4
02MaxMin;0.3;7;8;88%;18;21;86%;02MaxMin.csv;88.0;8;7;18;21;86.0;0.3
02MaxMin;0.3;7;8;88%;18;21;86%;02MaxMin.csv;88.0;8;7;18;21;86.0;0.3
02MaxMin;0.2;7;8;88%;18;21;86%;02MaxMin.csv;88.0;8;7;18;21;86.0;0.2
02MaxMin;0.0;0;8;0%;0;21;0%;02MaxMin.csv;0.0;8;0;0;21;0.0;0.0
03MaxMin;0.7;7;8;88%;17;21;81%;03MaxMin.csv;88.0;8;7;17;21;81.0;0.7
03MaxMin;0.8;7;8;88%;18;21;86%;03MaxMin.csv;88.0;8;7;18;21;86.0;0.8
03MaxMin;0.8;7;8;88%;18;21;86%;03MaxMin.csv;88.0;8;7;18;21;86.0;0.8
03MaxMin;0.9;7;8;88%;18;21;86%;03MaxMin.csv;88.0;8;7;18;21;86.0;0.9
03MaxMin;1.0;7;8;88%;17;21;81%;03MaxMin.csv;88.0;8;7;17;21;81.0;1.0
03MaxMin;1.0;7;8;88%;18;21;86%;03MaxMin.csv;88.0;8;7;18;21;86.0;1.0
03MaxMin;0.6;7;8;88%;17;21;81%;03MaxMin.csv;88.0;8;7;17;21;81.0;0.6
03MaxMin;0.6;7;8;88%;17;21;81%;03MaxMin.csv;88.0;8;7;17;21;81.0;0.6
03MaxMin;0.6;7;8;88%;17;21;81%;03MaxMin.csv;88.0;8;7;17;21;81.0;0.6
03MaxMin;0.5;7;8;88%;17;21;81%;03MaxMin.csv;88.0;8;7;17;21;81.0;0.5
03MaxMin;0.5;7;8;88%;17;21;81%;03MaxMin.csv;88.0;8;7;17;21;81.0;0.5
03MaxMin;0.4;7;8;88%;17;21;81%;03MaxMin.csv;88.0;8;7;17;21;81.0;0.4
03MaxMin;0.2;7;8;88%;17;21;81%;03MaxMin.csv;88.0;8;7;17;21;81.0;0.2
03MaxMin;0.2;7;8;88%;17;21;81%;03MaxMin.csv;88.0;8;7;17;21;81.0;0.2
03MaxMin;0.0;0;8;0%;0;21;0%;03MaxMin.csv;0.0;8;0;0;21;0.0;0.0
05Ordenacao;0.7;9;10;90%;16;20;80%;05Ordenacao.csv;90.0;10;9;16;20;80.0;0.7
05Ordenacao;0.7;9;10;90%;16;20;80%;05Ordenacao.csv;90.0;10;9;16;20;80.0;0.7
