PRJ;Cobertura_media;Escore_medio;Gerados_medios;N_registros
01Max;64.28571428571429;69.71428571428571;4.0;7
02MaxMin;81.71428571428571;79.14285714285714;8.0;14
03MaxMin;82.13333333333334;76.93333333333334;8.0;15
05Ordenacao;85.15151515151516;75.60606060606061;10.0;33
06Fibonacci;77.46666666666667;93.33333333333333;6.0;15
07Fibonacci;76.61538461538461;92.3076923076923;6.0;13
08MaxMin;83.63636363636364;72.36363636363636;13.0;11
09Ordenacao;88.8529411764706;89.97058823529412;16.0;34
10AvaliaMultMatrizes;0.0;0.0;14.0;1
11ListArray;89.6;58.733333333333334;12.0;15
12Lista;94.35714285714286;68.64285714285714;12.0;28
13Pilha;93.0;76.94736842105263;12.0;19
14Pilha;92.07692307692308;70.88461538461539;17.0;26
15Fila;86.41666666666667;69.16666666666667;19.0;12
16Fila;75.0;48.75;23.0;4
17Ordenacao;46.0;27.5;48.0;2
18FPHeapMax;0.0;0.0;40.0;1
19FPHeapMin;0.0;0.0;42.0;1
20Tabela;80.23076923076923;58.38461538461539;21.0;13
21ArvoreBinaria;64.3;38.46666666666667;48.0;30
22TabelaHash;88.21052631578948;55.8421052631579;35.0;19
23TabelaHash;71.0;47.75;52.0;4
24Grafo;73.16666666666667;55.458333333333336;42.0;24
25Grafo;72.71428571428571;57.0;34.0;14
26Grafo;81.78260869565217;56.52173913043478;51.0;23
27Grafo;64.2;49.0;33.0;10
28BuscaEmLargura;44.42857142857143;31.714285714285715;33.0;7
29Grafo;56.625;43.375;33.0;8
30Lista;61.333333333333336;43.333333333333336;32.0;3
31CasamentoExato;95.03030303030303;31.12121212121212;40.0;33
32CasamentoAproximado;91.83333333333333;27.233333333333334;19.0;30
33Identifier;65.0;33.333333333333336;22.0;3
