Temp_num;n_success;cov_mean;cov_std;esc_mean;esc_std;ger_med;success_pct
0.0000;37;86.8378;15.0896;60.1351;20.7688;21.0000;37.3737
0.1000;37;89.8378;12.8355;61.3243;20.3348;19.0000;37.3737
0.2000;37;88.0000;12.5543;63.0000;21.7166;19.0000;37.3737
0.3000;38;89.1579;10.4145;64.0000;20.2765;19.0000;38.3838
0.4000;39;89.3333;9.1374;66.0000;21.8198;17.0000;39.3939
0.5000;35;90.4000;9.0560;67.2571;22.7135;19.0000;35.3535
0.6000;52;87.4038;11.6808;68.2115;21.6635;16.5000;52.5253
0.7000;36;89.7778;12.5746;66.8611;22.8175;17.0000;36.3636
0.8000;45;89.7778;11.0575;68.5333;22.3501;17.0000;45.4545
0.9000;42;81.7619;22.3223;62.1905;27.8561;17.0000;42.4242
1.0000;41;85.2195;12.9084;67.8049;22.4524;17.0000;41.4141
