PRJ;N_records;Coverage_mean;Coverage_std;Escore_mean;Escore_std
01Max;6;75.0;0.0;81.33333333333333;3.6147844564602525
02MaxMin;13;88.0;0.0;85.23076923076923;1.8776690404970275
03MaxMin;14;88.0;0.0;82.42857142857143;2.344036154692473
05Ordenacao;32;87.8125;12.374368670764584;77.96875;11.490485194281396
06Fibonacci;14;83.0;0.0;100.0;0.0
07Fibonacci;12;83.0;0.0;100.0;0.0
08MaxMin;10;92.0;0.0;79.6;2.71620650499512
09Ordenacao;33;91.54545454545455;14.100290132411523;92.6969696969697;15.981404914158924
11ListArray;14;96.0;4.1509961733021665;62.92857142857143;4.066075138627794
12Lista;27;97.85185185185185;11.16210520433276;71.18518518518519;9.025762431195906
13Pilha;18;98.16666666666667;4.579365483917408;81.22222222222223;4.222566205458135
14Pilha;24;99.75;1.22474487139159;76.79166666666667;4.3336817028306625
15Fila;11;94.27272727272727;9.231369444355577;75.45454545454545;8.687504087638017
16Fila;3;100.0;0.0;65.0;0.0
17Ordenacao;1;92.0;;55.0;
20Tabela;12;86.91666666666667;13.96396878550021;63.25;18.12143381844725
21ArvoreBinaria;29;66.51724137931035;7.989371017863906;39.793103448275865;7.821122089503291
22TabelaHash;18;93.11111111111111;6.452440385474675;58.94444444444444;6.716723835693063
23TabelaHash;3;94.66666666666667;1.1547005383792526;63.666666666666664;8.326663997864532
24Grafo;23;76.34782608695652;6.139356611628216;57.869565217391305;5.259660789495207
25Grafo;13;78.3076923076923;1.3155870289605458;61.38461538461539;1.8045526471705549
26Grafo;22;85.5;4.935295620035626;59.09090909090909;5.335497396450728
27Grafo;9;71.33333333333333;11.034038245356955;54.44444444444444;8.427797919847022
28BuscaEmLargura;6;51.833333333333336;19.903935959168145;37.0;17.227884373886425
29Grafo;7;64.71428571428571;23.378867136185804;49.57142857142857;20.081974860200237
30Lista;2;92.0;11.313708498984761;65.0;8.48528137423857
31CasamentoExato;32;98.0;0.0;32.09375;1.4448880970176292
32CasamentoAproximado;29;95.0;0.0;28.17241379310345;2.508114908469839
33Identifier;2;97.5;3.5355339059327378;50.0;7.0710678118654755
